seccion_id,votante,cantidad,tipo,concepto,cantidad_str
111,No Votantes,912.0,2,VotoBlando,912
112,No Votantes,6.0,2,VotoBlando,6
113,No Votantes,2509.0,2,VotoBlando,"2,509"
114,No Votantes,71.0,2,VotoBlando,71
115,No Votantes,344.0,2,VotoBlando,344
116,No Votantes,8.0,2,VotoBlando,8
117,No Votantes,205.0,2,VotoBlando,205
118,No Votantes,1072.0,2,VotoBlando,"1,072"
119,No Votantes,418.0,2,VotoBlando,418
120,No Votantes,29.0,2,VotoBlando,29
121,No Votantes,183.0,2,VotoBlando,183
122,No Votantes,710.0,2,VotoBlando,710
123,No Votantes,154.0,2,VotoBlando,154
124,No Votantes,330.0,2,VotoBlando,330
125,No Votantes,490.0,2,VotoBlando,490
126,No Votantes,41.0,2,VotoBlando,41
127,No Votantes,55.0,2,VotoBlando,55
128,No Votantes,154.0,2,VotoBlando,154
129,No Votantes,1258.0,2,VotoBlando,"1,258"
130,No Votantes,1850.0,2,VotoBlando,"1,850"
131,No Votantes,37.0,2,VotoBlando,37
132,No Votantes,926.0,2,VotoBlando,926
133,No Votantes,628.0,2,VotoBlando,628
134,No Votantes,824.0,2,VotoBlando,824
135,No Votantes,26.0,2,VotoBlando,26
1,No Votantes,65.0,3,VotoBlando,65
2,No Votantes,25.0,3,VotoBlando,25
3,No Votantes,2028.0,3,VotoBlando,"2,028"
4,No Votantes,1280.0,3,VotoBlando,"1,280"
5,No Votantes,153.0,3,VotoBlando,153
6,No Votantes,591.0,3,VotoBlando,591
7,No Votantes,1819.0,3,VotoBlando,"1,819"
8,No Votantes,340.0,3,VotoBlando,340
9,No Votantes,270.0,3,VotoBlando,270
10,No Votantes,134.0,3,VotoBlando,134
11,No Votantes,1372.0,3,VotoBlando,"1,372"
12,No Votantes,507.0,3,VotoBlando,507
13,No Votantes,117.0,3,VotoBlando,117
14,No Votantes,157.0,3,VotoBlando,157
15,No Votantes,91.0,3,VotoBlando,91
16,No Votantes,662.0,3,VotoBlando,662
17,No Votantes,451.0,3,VotoBlando,451
18,No Votantes,149.0,3,VotoBlando,149
19,No Votantes,132.0,3,VotoBlando,132
20,No Votantes,16.0,3,VotoBlando,16
21,No Votantes,132.0,3,VotoBlando,132
22,No Votantes,159.0,3,VotoBlando,159
23,No Votantes,25.0,3,VotoBlando,25
24,No Votantes,116.0,3,VotoBlando,116
25,No Votantes,37.0,3,VotoBlando,37
26,No Votantes,153.0,3,VotoBlando,153
27,No Votantes,592.0,3,VotoBlando,592
28,No Votantes,168.0,3,VotoBlando,168
29,No Votantes,317.0,3,VotoBlando,317
30,No Votantes,325.0,3,VotoBlando,325
31,No Votantes,259.0,3,VotoBlando,259
32,No Votantes,75.0,3,VotoBlando,75
33,No Votantes,162.0,3,VotoBlando,162
34,No Votantes,276.0,3,VotoBlando,276
35,No Votantes,1430.0,3,VotoBlando,"1,430"
36,No Votantes,1250.0,3,VotoBlando,"1,250"
37,No Votantes,282.0,3,VotoBlando,282
38,No Votantes,2746.0,3,VotoBlando,"2,746"
39,No Votantes,369.0,3,VotoBlando,369
40,No Votantes,75.0,3,VotoBlando,75
41,No Votantes,56.0,3,VotoBlando,56
42,No Votantes,140.0,3,VotoBlando,140
43,No Votantes,9.0,3,VotoBlando,9
44,No Votantes,44.0,3,VotoBlando,44
45,No Votantes,53.0,3,VotoBlando,53
46,No Votantes,29.0,3,VotoBlando,29
47,No Votantes,302.0,3,VotoBlando,302
48,No Votantes,40.0,3,VotoBlando,40
49,No Votantes,33.0,3,VotoBlando,33
50,No Votantes,4524.0,3,VotoBlando,"4,524"
51,No Votantes,548.0,3,VotoBlando,548
52,No Votantes,1866.0,3,VotoBlando,"1,866"
53,No Votantes,3053.0,3,VotoBlando,"3,053"
54,No Votantes,75.0,3,VotoBlando,75
55,No Votantes,222.0,3,VotoBlando,222
56,No Votantes,98.0,3,VotoBlando,98
57,No Votantes,51.0,3,VotoBlando,51
58,No Votantes,42.0,3,VotoBlando,42
59,No Votantes,176.0,3,VotoBlando,176
60,No Votantes,777.0,3,VotoBlando,777
61,No Votantes,5414.0,3,VotoBlando,"5,414"
62,No Votantes,1772.0,3,VotoBlando,"1,772"
63,No Votantes,3697.0,3,VotoBlando,"3,697"
64,No Votantes,21.0,3,VotoBlando,21
65,No Votantes,101.0,3,VotoBlando,101
66,No Votantes,76.0,3,VotoBlando,76
67,No Votantes,215.0,3,VotoBlando,215
68,No Votantes,69.0,3,VotoBlando,69
69,No Votantes,196.0,3,VotoBlando,196
70,No Votantes,2589.0,3,VotoBlando,"2,589"
71,No Votantes,673.0,3,VotoBlando,673
72,No Votantes,104.0,3,VotoBlando,104
73,No Votantes,66.0,3,VotoBlando,66
74,No Votantes,119.0,3,VotoBlando,119
75,No Votantes,458.0,3,VotoBlando,458
76,No Votantes,492.0,3,VotoBlando,492
77,No Votantes,2979.0,3,VotoBlando,"2,979"
78,No Votantes,266.0,3,VotoBlando,266
79,No Votantes,2890.0,3,VotoBlando,"2,890"
80,No Votantes,1436.0,3,VotoBlando,"1,436"
